id	domain	url	encoding	url_condition	is_header	title_path	title_path_2	content_path	content_path2
24	search.rakuten.co.jp	https://search.rakuten.co.jp/search/mall/grong+%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%81%E3%83%A5%E3%83%BC%E3%83%96/	utf8	\/search\/mall\/.*	0	//h1[@class='section keyword']		//div[4]/div[@class='sw-Card Algo Algo-Related js-Algo-Related' and 2]/section[1]/div[@class='sw-Card__section' and 1]/a[@class='sw-Card__space' and 1]/div[@class='sw-Card__floatContainer' and 3]/p[@class='sw-Card__summary' and 1]	
25	beauty.hotpepper.jp	https://beauty.hotpepper.jp/smartphone/slnH000349339/	utf8	\/smartphone\/sln.*	0	//h2		//dl[@class='mT15 pH10']	
26	beauty.hotpepper.jp	https://beauty.hotpepper.jp/smartphone/slnH000184570/coupon/	utf8	\/coupon\/.*	0	//h2		//li[1]/h3[1]	
27	sp.nicovideo.jp	https://sp.nicovideo.jp/watch/sm32863456	utf8	\/watch\/.*	0	//*[@id='react-root']/div/main/div/div[2]/div/div/div/div/div/div/div[2]/div/div[1]/div[2]/div[2]/div/div[1]/div[1]/span		/html/body/div/div[9]/div[1]/div[1]/div[1]/div[3]/div[1]/div	
28	sp.nicovideo.jp	https://sp.nicovideo.jp/tag/俺の彼女と幼なじみが修羅場すぎる?sort=h&order=d&f_range=0&l_range=0	utf8	\/tag\/.*	0	//*[@id='react-root']/div/main/div/div[2]/div/div/div/div/div/div/div[2]/div/div[1]/div[2]/div[2]/div/div[1]/div[1]/span		//li[1]/div[@class='video-item-container' and 1]/a[@class='video-item-area' and 1]/div[@class='video-information-container' and 2]/div[@class='video-information-inner' and 1]/p[@class='video-item-title' and 2]	
29	www.bing.com	https://www.bing.com/search?q=%E8%BC%AA%E5%BB%BB%20%E9%81%93&FORM=ASSM01&PC=ATAS	utf8	\/search?q=.*	0	//li[1]/div[@class='b_algoheader' and 1]/a[1]/h2[1]		//li[1]/div[@class='b_caption' and 2]/p[1]	
30	www.jalan.net	https://www.jalan.net/kankou/spt_11225cd2112080872/?screenId=OUW1701	utf8	\/kankou\/.*	0	//h1[@class='pageTitle']		//div[@class='spotPara pB20']/div[1]	
41	www.akb48matomemory.com	http://www.akb48matomemory.com/archives/1073743040.html	utf8	//h2[@id='t_title']	0	//h2[@id='t_title']		//*[@id='article-contents']/div[3]	
42	blog.livedoor.jp	http://blog.livedoor.jp/itsoku/archives/54854398.html	utf8	\\/itsoku\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//div[@id='article-contents']/p	
43	blog.livedoor.jp	http://blog.livedoor.jp/itsoku/archives/54853352.html	utf8	\\/itsoku\\/archives\\/\\d+.html	0	//h1[@class='article-title']		//div[@id='article-contents']/p	
